gene,orf name,description,functional category,slide(s),mating type,source of deletion mutant(s),primary Hybset(s),responsive/non-responsive,"nr. sign. changes (p<0.05, FC>1.7)",profile first published
ZDS1,YMR273C,Protein with a role in regulating Swe1p-dependent polarized growth; involved in maintaining Cdc55p in the cytoplasm where it promotes mitotic entry; involved in mitotic exit through Cdc14p regulation; interacts with silencing proteins at the telomere; has a role in Bcy1p localization; implicated in mRNA nuclear export,cell cycle regulation,EA_00005265_S01 / EA_00005266_S01,MATalpha,Euroscarf / Euroscarf,EA013 / EA013,non-responsive mutant,2,This study
ZDS2,YML109W,Protein with a role in regulating Swe1p-dependent polarized growth; involved in maintenance of Cdc55p in the cytoplasm where it promotes mitotic entry; interacts with silencing proteins at the telomere; implicated in the mitotic exit network through regulation of Cdc14p localization; paralog of Zds1p,cell cycle regulation,JBE_00009474_S01,MATalpha,Open Biosystems,HTP070,non-responsive mutant,1,This study
ADA2,YDR448W,"Transcription coactivator, component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes",chromatin factor,NBR_00004361_S01 / NBR_00004362_S01,MATalpha,Open Biosystems / Open Biosystems,NBR024 / NBR024,responsive mutant,232,3
AHC1,YOR023C,"Subunit of the Ada histone acetyltransferase complex, required for structural integrity of the complex",chromatin factor,JBE_00008681_S01 / JBE_00010039_S01,MATalpha,Open Biosystems / Open Biosystems,HTP021 / HTP021,non-responsive mutant,0,This study
ARP5,YNL059C,"Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes",chromatin factor,JBE_00008397_S01 / JBE_00009198_S01,MATalpha,Open Biosystems / Open Biosystems,HTP027 / HTP093,non-responsive mutant,0,3
ARP6,YLR085C,"Actin-related protein that binds nucleosomes; a component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A",chromatin factor,JBE_00010241_S01 / JBE_00010240_S01,MATalpha,Open Biosystems / Open Biosystems,HTP110 / HTP110,responsive mutant,23,3
ARP8,YOR141C,"Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes; has mRNA binding activity",chromatin factor,JBE_00009258_S01 / TLS_00009860_S01,MATalpha,Euroscarf / Euroscarf,HTP081 / HTP081,responsive mutant,112,3
ASF1,YJL115W,"Nucleosome assembly factor, involved in chromatin assembly and disassembly, anti-silencing protein that causes derepression of silent loci when overexpressed; plays a role in regulating Ty1 transposition",chromatin factor,JBE_00009576_S01 / JBE_00010089_S01,MATalpha,Open Biosystems / Open Biosystems,HTP077 / HTP_asf1,responsive mutant,99,3
ASH1,YKL185W,"Zinc-finger inhibitor of HO transcription; mRNA is localized and translated in the distal tip of anaphase cells, resulting in accumulation of Ash1p in daughter cell nuclei and inhibition of HO expression; potential Cdc28p substrate",chromatin factor,JBE_00010594_S01 / JBE_00010595_S01,MATalpha,Open Biosystems / Open Biosystems,HTP121 / HTP121,responsive mutant,4,3
BRE1,YDL074C,"E3 ubiquitin ligase, forms heterodimer with Rad6p to monoubiquinate histone H2B-K123, which is required for the subsequent methylation of histone H3-K4 and H3-K79; required for DSBR, transcription, silencing, and checkpoint control",chromatin factor,TLS_00001494_S01 / TLS_00001495_S01,MATalpha,Euroscarf / Euroscarf,TLS002-2 / TLS002-2,responsive mutant,129,3
BRE2,YLR015W,"Subunit of COMPASS (Set1C) complex, which methylates Lys4 of histone H3 and functions in silencing at telomeres; has a C-terminal Sdc1 Dpy-30 Interaction (SDI) domain that mediates binding to Sdc1p; similar to trithorax-group protein ASH2L",chromatin factor,NBR_00004294_S01 / NBR_00004295_S01,MATa,"Geli lab, CNRS / Geli lab, CNRS",NBR013 / NBR013,responsive mutant,51,3
BTT1,YDR252W,Beta3 subunit of the heterotrimeric nascent polypeptide-associated complex which binds ribosomes via its beta-subunits in close proximity to nascent polypeptides; interacts with Caf130p of the CCR4-NOT complex; similar to human BTF3,chromatin factor,TLS_00009630_S01,MATalpha,Open Biosystems,HTP075,non-responsive mutant,0,3
BUR2,YLR226W,Cyclin for the Sgv1p (Bur1p) protein kinase; Sgv1p and Bur2p comprise a CDK-cyclin complex involved in transcriptional regulation through its phosphorylation of the carboxy-terminal domain of the largest subunit of RNA polymerase II,chromatin factor,JBE_00009543_S01 / JBE_00010151_S01,MATalpha,Euroscarf / Euroscarf,HTP098 / HTP098,responsive mutant,344,3
RLF2,YPR018W,"Largest subunit (p90) of the Chromatin Assembly Complex (CAF-1); chromatin assembly by CAF-1 is important for multiple processes including silencing at telomeres, mating type loci, and rDNA; maintenance of kinetochore structure; deactivation of the DNA damage checkpoint after DNA repair; and chromatin dynamics during transcription",chromatin factor,SHE_00008303_S01 / SHE_00009117_S01,MATalpha,Open Biosystems / Open Biosystems,HTP018 / HTP018,responsive mutant,83,3
CAC2,YML102W,"Subunit of chromatin assembly factor I (CAF-1), with Rlf2p and Msi1p; chromatin assembly by CAF-1 is important for multiple processes including silencing at telomeres, mating type loci, and rDNA; maintenance of kinetochore structure; deactivation of the DNA damage checkpoint after DNA repair; and chromatin dynamics during transcription",chromatin factor,SHE_00008302_S01 / SHE_00009110_S01,MATalpha,Open Biosystems / Open Biosystems,HTP018 / HTP018,responsive mutant,135,3
CAF120,YNL278W,"Part of the evolutionarily-conserved CCR4-NOT transcriptional regulatory complex involved in controlling mRNA initiation, elongation, and degradation",chromatin factor,JBE_00008745_S01,MATalpha,Open Biosystems,HTP048,non-responsive mutant,3,This study
CAF130,YGR134W,"Part of the evolutionarily-conserved CCR4-NOT transcriptional regulatory complex involved in controlling mRNA initiation, elongation, and degradation",chromatin factor,NBR_00004128_S01 / NBR_00004129_S01,MATalpha,Open Biosystems / Open Biosystems,NBR021 / NBR021,responsive mutant,11,3
CAF16,YFL028C,Part of evolutionarily-conserved CCR4-NOT regulatory complex; contains single ABC-type ATPase domain but no transmembrane domain; interacts with several subunits of Mediator,chromatin factor,TLS_00007112_S01 / TLS_00007113_S01,MATalpha,Open Biosystems / Open Biosystems,TLS041 / TLS041,non-responsive mutant,0,3
CAF40,YNL288W,"Evolutionarily conserved subunit of the CCR4-NOT complex involved in controlling mRNA initiation, elongation and degradation; binds Cdc39p",chromatin factor,NBR_00007005_S01 / NBR_00007006_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",NBR035 / NBR035,responsive mutant,17,3
CAF4,YKR036C,"WD40 repeat-containing protein associated with the CCR4-NOT complex, interacts in a Ccr4p-dependent manner with Ssn2p; also interacts with Fis1p, Mdv1p and Dnm1p and plays a role in mitochondrial fission",chromatin factor,TLS_00007116_S01 / TLS_00007117_S01,MATalpha,Open Biosystems / Open Biosystems,TLS041 / TLS041,non-responsive mutant,1,3
CCR4,YAL021C,"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening",chromatin factor,NBR_00008031_S01 / NBR_00008032_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",NBR042 / NBR042,responsive mutant,459,"3, 4"
CDC73,YLR418C,"Component of the Paf1p complex; binds to and modulates the activity of RNA polymerases I and II; required for expression of certain genes, modification of some histones, and telomere maintenance; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay",chromatin factor,IC_00003163_S01 / IC_00003162_S01,MATalpha,Euroscarf / Euroscarf,IC021 / IC021,responsive mutant,229,3
CHD1,YER164W,"Chromatin remodeler that regulates various aspects of transcription; contains a chromo domain, a helicase domain and a DNA-binding domain; component of both the SAGA and SLIK complexes",chromatin factor,IC_00003165_S01 / IC_00003164_S01,MATalpha,Euroscarf / Euroscarf,IC021 / IC021,responsive mutant,20,3
CHZ1,YER030W,Histone chaperone for Htz1p/H2A-H2B dimer; required for the stabilization of the Chz1p-Htz1-H2B complex; has overlapping function with Nap1p; null mutant displays weak sensitivity to MMS and benomyl; contains a highly conserved CHZ motif,chromatin factor,JBE_00008971_S01 / JBE_00010042_S01,MATalpha,Open Biosystems / Open Biosystems,HTP067 / HTP067,non-responsive mutant,0,This study
CPR1,YDR155C,"Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A",chromatin factor,JBE_00008913_S01 / JBE_00010279_S01,MATalpha,Open Biosystems / Open Biosystems,HTP032 / HTP098,non-responsive mutant,2,3
CTI6,YPL181W,Protein that relieves transcriptional repression by binding to the Cyc8p-Tup1p corepressor and recruiting the SAGA complex to the repressed promoter; contains a PHD finger domain,chromatin factor,JBE_00008684_S01 / JBE_00010146_S01,MATalpha,Open Biosystems / Open Biosystems,HTP022 / HTP106,responsive mutant,58,3
CTR9,YOL145C,"Component of the Paf1p complex involved in transcription elongation; binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes, including cyclin genes; involved in SER3 repression by helping to maintain SRG1 transcription-dependent nucleosome occupancy; contains TPR repeats",chromatin factor,NBR_00004212_S01 / NBR_00004213_S01,MATalpha,Open Biosystems / Open Biosystems,NBR025 / NBR025,responsive mutant,510,3
DEP1,YAL013W,"Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation",chromatin factor,JBE_00008413_S01 / JBE_00009156_S01,MATalpha,Euroscarf / Euroscarf,HTP028 / HTP028,responsive mutant,193,3
DLS1,YJL065C,"Subunit of ISW2/yCHRAC chromatin accessibility complex along with Itc1p, Isw2p, and Dpb4p; involved in inheritance of telomeric silencing",chromatin factor,JBE_00009025_S01 / JBE_00007195_S01,MATalpha,Open Biosystems / Open Biosystems,HTP023 / HTP024,responsive mutant,13,3
DOT1,YDR440W,"Nucleosomal histone H3-Lys79 methylase; methylation is required for telomeric silencing, meiotic checkpoint control, and DNA damage response",chromatin factor,JBE_00009287_S01 / JBE_00010036_S01,MATalpha,Open Biosystems / Open Biosystems,HTP039 / HTP039,non-responsive mutant,2,This study
DOT6,YER088C,Protein involved in rRNA and ribosome biogenesis; binds polymerase A and C motif; subunit of the RPD3L histone deacetylase complex; similar to Tod6p; has chromatin specific SANT domain; involved in telomeric gene silencing and filamentation,chromatin factor,TLS_00008025_S01 / TLS_00008026_S01,MATalpha,Open Biosystems / Open Biosystems,HTP009 / HTP009,non-responsive mutant,0,3
DPB4,YDR121W,Shared subunit of DNA polymerase (II) epsilon and of ISW2/yCHRAC chromatin accessibility complex; involved in both chromosomal DNA replication and in inheritance of telomeric silencing,chromatin factor,JBE_00010596_S01 / JBE_00010597_S01,MATalpha,Open Biosystems / Open Biosystems,HTP121 / HTP121,responsive mutant,19,3
EAF1,YDR359C,"Component of the NuA4 histone acetyltransferase complex; acts as a platform for assembly of NuA4 subunits into the native complex; required for initiation of pre-meiotic DNA replication, likely due to its requirement for expression of IME1",chromatin factor,JBE_00009936_S01 / JBE_00009937_S01,MATalpha,"Kobor lab, UBC / Kobor lab, UBC",JB015-KoborData / JB015-KoborData,responsive mutant,138,3
EAF3,YPR023C,"Esa1p-associated factor, nonessential component of the NuA4 acetyltransferase complex, homologous to Drosophila dosage compensation protein MSL3; plays a role in regulating Ty1 transposition",chromatin factor,JBE_00010616_S01 / JBE_00010617_S01,MATalpha,Open Biosystems / Open Biosystems,HTP118 / HTP118,responsive mutant,19,3
EAF5,YEL018W,"Esa1p-associated factor, non-essential subunit of the NuA4 acetyltransferase complex",chromatin factor,SHE_00009135_S01 / JBE_00009667_S01,MATalpha,Open Biosystems / Open Biosystems,HTP022 / HTP022,responsive mutant,19,3
EAF6,YJR082C,Subunit of the NuA4 acetyltransferase complex that acetylates histone H4 and NuA3 acetyltransferase complex that acetylates histone H3,chromatin factor,JBE_00008992_S01 / TLS_00009709_S01,MATalpha,Open Biosystems / Open Biosystems,HTP024 / HTP024,responsive mutant,4,3
EAF7,YNL136W,"Subunit of the NuA4 histone acetyltransferase complex, which acetylates the N-terminal tails of histones H4 and H2A",chromatin factor,SHE_00008326_S01 / SHE_00009128_S01,MATalpha,Open Biosystems / Open Biosystems,HTP025 / HTP025,responsive mutant,68,3
ECM5,YMR176W,"Non-essential protein of unknown function, contains ATP/GTP-binding site motif A; null mutant exhibits cellular volume up to four times greater than wild-type, also large drooping buds with elongated necks",chromatin factor,THM_00003419_S01 / THM_00003420_S01,MATalpha,Open Biosystems / Open Biosystems,THM002 / THM002,non-responsive mutant,1,3
ESC8,YOL017W,"Protein involved in telomeric and mating-type locus silencing, interacts with Sir2p and also interacts with the Gal11p, which is a component of the RNA pol II mediator complex",chromatin factor,EA_00004301_S01 / EA_00004300_S01,MATalpha,Euroscarf / Euroscarf,EA009 / EA009,responsive mutant,5,3
GCN5,YGR252W,"Acetyltransferase, modifies N-terminal lysines on histones H2B and H3; acetylates Rsc4p, a subunit of the RSC chromatin-remodeling complex, altering replication stress tolerance; catalytic subunit of the ADA and SAGA histone acetyltransferase complexes; founding member of the Gcn5p-related N-acetyltransferase superfamily; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay",chromatin factor,SV_00003287_S01 / SV_00003288_S01,MATalpha,Euroscarf / Euroscarf,SV021 / SV021,responsive mutant,209,3
